,state,min,max
2018-09-04 15:51:45.111252,58.0,40.0,70.0
2018-09-04 15:51:46.062347,58.0,40.0,70.0
2018-09-04 15:51:47.062447,58.0,40.0,70.0
2018-09-04 15:51:48.111552,58.0,40.0,70.0
2018-09-04 15:51:49.207662,58.0,40.0,70.0
2018-09-04 15:51:53.351076,58.0,40.0,70.0
2018-09-04 15:54:33.115051,58.0,40.0,70.0
2018-09-04 15:54:34.170156,58.0,40.0,70.0
2018-09-04 15:54:35.331272,58.0,40.0,70.0
2018-09-04 15:54:36.320371,58.0,40.0,70.0
2018-09-04 15:54:37.369476,58.0,40.0,70.0
2018-09-04 15:54:38.468586,58.0,40.0,70.0
2018-09-04 15:54:39.580697,58.0,40.0,70.0
2018-09-04 15:54:40.619801,58.0,40.0,70.0
2018-09-04 15:54:41.669906,58.0,40.0,70.0
2018-09-04 15:54:42.720011,58.0,40.0,70.0
2018-09-04 15:54:47.670506,58.0,40.0,70.0
2018-09-04 15:54:48.865626,58.0,40.0,70.0
2018-09-04 15:54:49.919731,58.0,40.0,70.0
2018-09-04 15:54:51.018841,58.0,40.0,70.0
2018-09-04 15:54:52.069946,58.0,40.0,70.0
2018-09-04 15:54:53.170056,58.0,40.0,70.0
2018-09-04 15:54:54.270166,58.0,40.0,70.0
2018-09-04 15:54:55.369276,58.0,40.0,70.0
2018-09-04 15:54:56.472386,58.0,40.0,70.0
2018-09-04 15:54:57.620501,58.0,40.0,70.0
2018-09-04 15:55:02.621001,58.0,40.0,70.0
2018-09-04 15:55:03.721111,58.0,40.0,70.0
2018-09-04 15:55:04.820221,58.0,40.0,70.0
2018-09-04 15:55:05.971336,58.0,40.0,70.0
2018-09-04 15:55:07.019441,58.0,40.0,70.0
2018-09-04 15:55:08.069546,58.0,40.0,70.0
2018-09-04 15:55:09.170656,58.0,40.0,70.0
2018-09-04 15:55:10.169756,58.0,40.0,70.0
2018-09-04 15:55:11.221861,58.0,40.0,70.0
2018-09-04 15:55:12.320971,58.0,40.0,70.0
2018-09-04 15:55:17.170456,58.0,40.0,70.0
2018-09-04 15:55:18.221561,58.0,40.0,70.0
2018-09-04 15:55:19.271666,58.0,40.0,70.0
2018-09-04 15:55:20.369776,58.0,40.0,70.0
2018-09-04 15:55:21.420881,58.0,40.0,70.0
2018-09-04 15:55:22.470986,58.0,40.0,70.0
2018-09-04 15:55:23.572096,58.0,40.0,70.0
2018-09-04 15:55:24.622201,58.0,40.0,70.0
2018-09-04 15:55:25.771316,58.0,40.0,70.0
2018-09-04 15:55:26.871426,58.0,40.0,70.0
2018-09-04 15:55:31.870926,58.0,40.0,70.0
2018-09-04 15:55:32.922031,58.0,40.0,70.0
2018-09-04 15:55:34.020141,58.0,40.0,70.0
2018-09-04 15:55:35.121251,58.0,40.0,70.0
2018-09-04 15:55:36.171356,58.0,40.0,70.0
2018-09-04 15:55:37.271466,58.0,40.0,70.0
2018-09-04 15:55:38.372576,58.0,40.0,70.0
2018-09-04 15:55:39.471686,58.0,40.0,70.0
2018-09-04 15:55:40.571796,58.0,40.0,70.0
2018-09-04 15:55:41.670906,58.0,40.0,70.0
2018-09-04 15:55:46.578396,58.0,40.0,70.0
2018-09-04 15:55:47.672506,58.0,40.0,70.0
2018-09-04 15:55:48.722611,58.0,40.0,70.0
2018-09-04 15:55:49.822721,58.0,40.0,70.0
2018-09-04 15:55:50.917830,58.0,40.0,70.0
2018-09-04 15:55:51.972936,58.0,40.0,70.0
2018-09-04 15:55:52.972036,58.0,40.0,70.0
2018-09-04 15:55:54.072146,58.0,40.0,70.0
2018-09-04 15:55:55.073246,58.0,40.0,70.0
2018-09-04 15:55:56.123351,58.0,40.0,70.0
2018-09-04 15:56:00.972836,58.0,40.0,70.0
2018-09-04 15:56:02.073946,58.0,40.0,70.0
2018-09-04 15:56:03.174056,58.0,40.0,70.0
2018-09-04 15:56:04.273166,58.0,40.0,70.0
2018-09-04 15:56:05.272266,58.0,40.0,70.0
2018-09-04 15:56:06.372376,58.0,40.0,70.0
2018-09-04 15:56:07.373476,58.0,40.0,70.0
2018-09-04 15:56:08.518590,58.0,40.0,70.0
2018-09-04 15:56:09.473686,58.0,40.0,70.0
2018-09-04 15:56:10.469785,58.0,40.0,70.0
2018-09-04 15:56:15.424281,58.0,40.0,70.0
2018-09-04 15:56:16.423381,58.0,40.0,70.0
2018-09-04 15:56:17.524491,58.0,40.0,70.0
2018-09-04 15:56:18.623601,58.0,40.0,70.0
2018-09-04 15:56:19.723711,58.0,40.0,70.0
2018-09-04 15:56:20.822820,58.0,40.0,70.0
2018-09-04 15:56:21.921930,58.0,40.0,70.0
2018-09-04 15:56:22.924031,58.0,40.0,70.0
2018-09-04 15:56:23.974136,58.0,40.0,70.0
2018-09-04 15:56:25.074246,58.0,40.0,70.0
2018-09-04 15:56:30.022740,58.0,40.0,70.0
2018-09-04 15:56:31.073845,58.0,40.0,70.0
2018-09-04 15:56:32.124951,58.0,40.0,70.0
2018-09-04 15:56:33.225061,58.0,40.0,70.0
2018-09-04 15:56:34.274165,58.0,40.0,70.0
2018-09-04 15:56:35.370275,58.0,40.0,70.0
2018-09-04 15:56:36.425381,58.0,40.0,70.0
2018-09-04 15:56:37.524490,58.0,40.0,70.0
2018-09-04 15:56:38.625601,58.0,40.0,70.0
2018-09-04 15:56:39.675706,58.0,40.0,70.0
2018-09-04 15:56:44.629201,58.0,40.0,70.0
2018-09-04 15:56:45.675305,58.0,40.0,70.0
2018-09-04 15:56:46.786417,58.0,40.0,70.0
2018-09-04 15:56:47.924530,58.0,40.0,70.0
2018-09-04 15:56:49.026641,58.0,40.0,70.0
